system,survey_id,survey_name,data-available,survey_type,survey_org,survey_endDate,building_id,building_name,building_address,building_street,building_city,building_state,building_zip,building_country,Sq. Ft. ,school type,locale,Title 1 (Y/N),building_lon,building_lat,building_constructed,building_renovated,building_leed,building_leed-version,median income,bldg-feat-1,bldg-feat-2,bldg-feat-3,bldg-feat-4,median_income_all_households_zip
CBE,11870.0,"Harley-Davidson Facility, Milwaukee, WI",,Office,harley-davidson,2000-05-12,5976.0,harley-davidson corporate headquarters,"3700 w juneau ave, milwaukee, wi 53208,",11310 w silver spring rd,milwaukee,wi,53225,usa,,,,,-87.9621749,43.0461007,1903.0,1997.0,,,54433.0,,,,,54433.0
CBE,11906.0,Operable Windows Warm/Hot General BCC,,Office,city of berkeley,2002-08-16,5664.0,city of berkeley civic center,"2180 milvia st, berkeley, ca 94704, usa",2180 milvia st,berkeley,ca,94704,usa,,,,,-122.2708956,37.8695745,1940.0,2001.0,,1,52105.0,,,,,52105.0
CBE,11940.0,Facades - Warm/Hot General - Seattle Justice Center POE LEED NC 2.0 (silver),,Office,city of seattle,2003-10-13,5679.0,seattle justice center,"600 5th ave, seattle, wa 98104, usa",600 5th ave,seattle,wa,98104,usa,,,,,-122.329112,47.6040744,2002.0,,,,61866.0,,,,,61866.0
CBE,12022.0,GSA D&C - Corpus Christi,,Courtroom,general services administration,2004-01-08,5652.0,corpus christi federal courthouse,"1133 n shoreline blvd, corpus christi, tx 78401, usa",1133 n shoreline blvd,corpus christi,tx,78401,usa,,,,,-97.3947905,27.8026263,2001.0,,,,37796.0,,,,,37796.0
CBE,12028.0,GSA Tenant Satisfaction - Santa Ana - SUPERB,,Courtroom,general services administration,2003-11-21,5647.0,ronald reagan federal building and us courthouse,"411 w fourth street, santa ana, ca 92701, usa",411 w fourth street,santa ana,ca,92701,usa,,,,,-117.8737612,33.7485485,1989.0,,,,68697.0,,,,,68697.0
CBE,12031.0,GSA Tenant Satisfaction - Lafayette - SUPERB,,Courtroom,general services administration,2003-10-15,5648.0,john m. shaw united states courthouse,"800 lafayette st, lafayette, la 70501, usa",800 lafayette st,lafayette,la,70501,usa,,,,,-92.0216909,30.2246622,1999.0,,,,31723.0,,,,,31723.0
CBE,12032.0,GSA Tenant Satisfaction - Tucson - SUPERB,,Courtroom,general services administration,2003-10-15,5654.0,evo a. deconcini federal courthouse,"405 w congress st, tucson, az 85701, usa",405 w congress st,tucson,az,85701,usa,,,,,-110.9784657,32.220152,2000.0,,,,52672.0,,,,,52672.0
CBE,12038.0,Keen Crown Corp occupant education - Kelowna Secondary School,,Office,,2003-11-07,5671.0,kelowna secondary school,"1079 raymer avenue, kelowna, british columbia, canada, v1y 4z7",1079 raymer avenue,kelowna,bc,,canada,,,,,-119.4805644,49.8641428,2002.0,,,,,,,,,
CBE,12040.0,GSA Workplace 20.20 pilot FAA DC,,Office,general services administration,2003-11-21,5672.0,federal aviation administration,"800 independence ave sw, washington, dc 20591, usa",800 independence ave sw,washington,dc,20591,usa,,,,,-77.031469,38.90345,1963.0,,,,,,,,,
CBE,12041.0,Indoorium - HYY - Pilot,,Office,,2003-11-23,5676.0,indoorium - hyy - pilotti,"yliopistonkatu 4, 00100 helsinki, finland",yliopistonkatu 4,,,,finland,,,,,24.9510419,60.1726348,,,,1,,,,,,
CBE,12047.0,GSA Tenant Satisfaction - Las Vegas,,Courtroom,general services administration,2003-12-19,5651.0,"gsa poe las vegas, nv","333 s las vegas blvd, las vegas, nv 89101, usa",333 s las vegas blvd,las vegas,nv,89101,usa,,,,,-115.1424758,36.1652054,,,,,38653.0,,,,,38653.0
CBE,12049.0,GSA Workplace 20.20 pilot Coast guard Alameda Division S,,Office,general services administration,2003-12-03,5663.0,coast guard island alameda,"coast guard island, alameda, ca 94501, usa",coast guard island,alameda,ca,94501,usa,,,,,-122.2492238,37.7820305,1992.0,1992.0,,1,119500.0,,,,,119500.0
CBE,12050.0,GSA Workplace 20.20 pilot Corp of Engineers Seattle,,Office,general services administration,2003-12-22,5674.0,u.s. army corps of engineers headquarters,"4735 e marginal way s bldg 1202, seattle, wa 98134, usa",4735 e marginal way s bldg 1202,seattle,wa,98134,usa,,,,,-122.3448955,47.5597599,1932.0,,,1,66119.0,,,,,66119.0
CBE,12058.0,Indoorium - Halton Kausala,,Office,halton,2004-02-20,5677.0,indoorium - halton kausala,"haltonintie 1-3, 47400 kausala, finland",haltonintie 1-3,,,,finland,,,,,26.3918125,60.8836394,1985.0,1985.0,,1,,,,,,
CBE,12059.0,Indoorium - Halton Lahti,,Office,halton,2004-02-20,5678.0,indoorium - halton lahti,"pulttikatu 2, 15700 lahti, finland",pulttikatu 2,,,,finland,,,,,25.6030929,60.9462668,1989.0,,,1,,,,,,
CBE,12063.0,Indoorium - ISS Palvelut,,Office,fortum,2004-04-04,5683.0,indoorium - iss palvelut,,,,,,finland,,,,,,,1988.0,,,1,,,,,,
CBE,12065.0,Pennsylvania Department of Environmental Protection Cambria office building UFAD module LEED NC 2.0 (gold),,Office,"miller brothers construction, inc.",2004-04-23,5685.0,ufad cambria leed nc gold,"286 industrial park rd, ebensburg, pa 15931, usa",286 industrial park rd,ebensburg,PA,15931,usa,,,,,-78.7589208,40.4632233,2000.0,,gold,leed nc 2.0,62772.0,,,,,62772.0
CBE,12066.0,Indoorium - VTT Headquarters Espoo,,Office,senaatti,2004-04-18,5686.0,indoorium - vtt espoo,"vuorimiehentie 5, 02150 espoo, finland",vuorimiehentie 5,,,,finland,,,,,24.8280796,60.1828465,1975.0,,,1,,,,,,
CBE,12071.0,GSA Workplace 20.20 pilot Coast guard V - MODIFIED s306,,Office,general services administration,2004-04-05,5684.0,gsa wp 20.20 pilot coastguard v,"coast guard island, alameda, ca, usa",coast guard island,alameda,CA,,usa,,,,,-122.2490817,37.7819983,1960.0,1982.0,,,,,,,,
CBE,12072.0,Keen Engineering - Toronto office (reused survey_id from id 234),,Office,the stirling corporation,2004-08-06,5774.0,keen engineering - toronto office,,,,,,canada,,,,,,,1930.0,1998.0,,1,,,,,,
CBE,12075.0,GSA IFMA AZ5427 BLDGS 4 & 5 - USGS,,Office,general services administration,2004-06-17,5694.0,az5427 bldgs 4 & 5 - usgs,"2255 n gemini rd, flagstaff, az 86001, usa",2255 n gemini rd,flagstaff,az,86001,usa,,,,,-111.6341129,35.2144074,2002.0,,,1,62587.0,,,,,62587.0
