system,survey_id,survey_name,data-available,survey_type,survey_org,survey_endDate,building_id,building_name,building_address,building_street,building_city,building_state,building_zip,building_country,Sq. Ft. ,school type,locale,Title 1 (Y/N),building_lon,building_lat,building_constructed,building_renovated,building_leed,building_leed-version,median income,bldg-feat-1,bldg-feat-2,bldg-feat-3,bldg-feat-4
CBE,11870,"Harley-Davidson Facility, Milwaukee, WI",,Office,harley-davidson,2000-05-12,5976,harley-davidson corporate headquarters,"3700 w juneau ave, milwaukee, wi 53208,",11310 w silver spring rd,milwaukee,wi,53225,usa,,,,,-87.9621749,43.0461007,1903,1997,,,54433,,,,
CBE,11906,Operable Windows Warm/Hot General BCC,,Office,city of berkeley,2002-08-16,5664,city of berkeley civic center,"2180 milvia st, berkeley, ca 94704, usa",2180 milvia st,berkeley,ca,94704,usa,,,,,-122.2708956,37.8695745,1940,2001,,1,52105,,,,
CBE,11940,Facades - Warm/Hot General - Seattle Justice Center POE LEED NC 2.0 (silver),,Office,city of seattle,2003-10-13,5679,seattle justice center,"600 5th ave, seattle, wa 98104, usa",600 5th ave,seattle,wa,98104,usa,,,,,-122.329112,47.6040744,2002,,,,61866,,,,
CBE,12022,GSA D&C - Corpus Christi,,Courtroom,general services administration,2004-01-08,5652,corpus christi federal courthouse,"1133 n shoreline blvd, corpus christi, tx 78401, usa",1133 n shoreline blvd,corpus christi,tx,78401,usa,,,,,-97.3947905,27.8026263,2001,,,,37796,,,,
CBE,12028,GSA Tenant Satisfaction - Santa Ana - SUPERB,,Courtroom,general services administration,2003-11-21,5647,ronald reagan federal building and us courthouse,"411 w fourth street, santa ana, ca 92701, usa",411 w fourth street,santa ana,ca,92701,usa,,,,,-117.8737612,33.7485485,1989,,,,68697,,,,
CBE,12031,GSA Tenant Satisfaction - Lafayette - SUPERB,,Courtroom,general services administration,2003-10-15,5648,john m. shaw united states courthouse,"800 lafayette st, lafayette, la 70501, usa",800 lafayette st,lafayette,la,70501,usa,,,,,-92.0216909,30.2246622,1999,,,,31723,,,,
CBE,12032,GSA Tenant Satisfaction - Tucson - SUPERB,,Courtroom,general services administration,2003-10-15,5654,evo a. deconcini federal courthouse,"405 w congress st, tucson, az 85701, usa",405 w congress st,tucson,az,85701,usa,,,,,-110.9784657,32.220152,2000,,,,52672,,,,
CBE,12038,Keen Crown Corp occupant education - Kelowna Secondary School,,Office,,2003-11-07,5671,kelowna secondary school,"1079 raymer avenue, kelowna, british columbia, canada, v1y 4z7",1079 raymer avenue,kelowna,bc,v1y 4z7,canada,,,,,-119.4805644,49.8641428,2002,,,,,,,,
CBE,12040,GSA Workplace 20.20 pilot FAA DC,,Office,general services administration,2003-11-21,5672,federal aviation administration,"800 independence ave sw, washington, dc 20591, usa",800 independence ave sw,washington,dc,20591,usa,,,,,-77.031469,38.90345,1963,,,,,,,,
CBE,12041,Indoorium - HYY - Pilot,,Office,,2003-11-23,5676,indoorium - hyy - pilotti,"yliopistonkatu 4, 00100 helsinki, finland",yliopistonkatu 4,,,,finland,,,,,24.9510419,60.1726348,,,,1,,,,,
